ano,sigla_uf,id_municipio,produto,area_destinada_colheita,area_colhida,quantidade_produzida,rendimento_medio_producao,valor_producao
2018,MG,3112208,Café (em grão) Arábica,210,210,441,2100,3043
2018,MG,3168903,Café (em grão) Arábica,1770,1770,3398,1920,25485
2015,MG,3159902,Café (em grão) Arábica,9640,9640,11568,1200,78084
2021,MG,3130556,Café (em grão) Arábica,3400,3400,4080,1200,53465
2021,MG,3104700,Café (em grão) Arábica,75,75,47,627,560
2021,MG,3146305,Café (em grão) Arábica,165,165,79,479,909
2019,MG,3153608,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3161601,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3140308,Café (em grão) Arábica,25,25,30,1200,195
2014,MG,3104809,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3154507,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3119906,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3152709,Café (em grão) Arábica,50,30,120,4000,552
2013,MG,3116605,Café (em grão) Arábica,500,500,750,1500,3462
2020,MG,3150901,Café (em grão) Arábica,6,6,8,1333,69
2020,MG,3129806,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3132701,Café (em grão) Arábica,70,70,84,1200,546
2015,MG,3107109,Café (em grão) Arábica,15265,15265,19234,1260,139485
2015,MG,3136306,Café (em grão) Arábica,1600,1600,3840,2400,23616
2011,MG,3169802,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3157302,Café (em grão) Arábica,28,28,24,857,168
2015,MG,3140555,Café (em grão) Arábica,490,490,706,1441,3835
2021,MG,3121258,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3155603,Café (em grão) Arábica,589,589,1628,2764,22290
2019,MG,3121407,Café (em grão) Arábica,160,160,288,1800,1858
2014,MG,3108404,Café (em grão) Arábica,4690,4690,8161,1740,56033
2014,MG,3135357,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3129301,Café (em grão) Arábica,50,50,45,900,293
2023,MG,3136652,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3147105,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3117405,Café (em grão) Arábica,685,685,822,1200,3469
2013,MG,3157658,Café (em grão) Arábica,10,10,6,600,23
2020,MG,3161809,Café (em grão) Arábica,NA,NA,NA,NA,NA
2020,MG,3138708,Café (em grão) Arábica,1930,1930,3590,1860,28122
2020,MG,3149309,Café (em grão) Arábica,NA,NA,NA,NA,NA
2020,MG,3127370,Café (em grão) Arábica,NA,NA,NA,NA,NA
2020,MG,3152170,Café (em grão) Arábica,95,95,60,632,450
2011,MG,3162401,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3114501,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3149705,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3146503,Café (em grão) Arábica,5,5,6,1200,38
2018,MG,3124104,Café (em grão) Arábica,40,40,84,2100,529
2018,MG,3104502,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3166600,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3161908,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3144508,Café (em grão) Arábica,1680,1680,3024,1800,22679
2015,MG,3149903,Café (em grão) Arábica,3340,3340,3808,1140,25704
2021,MG,3147402,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3150604,Café (em grão) Arábica,5,5,6,1200,81
2021,MG,3129707,Café (em grão) Arábica,10742,10742,14255,1327,190856
2021,MG,3143153,Café (em grão) Arábica,40,40,22,550,239
2019,MG,3155801,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3144300,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3148608,Café (em grão) Arábica,70,70,42,600,273
2014,MG,3153905,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3171030,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3149150,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3103603,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3138625,Café (em grão) Arábica,NA,NA,NA,NA,NA
2013,MG,3126752,Café (em grão) Arábica,270,270,243,900,972
2020,MG,3159605,Café (em grão) Arábica,4500,4500,7560,1680,65046
2011,MG,3137502,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3112901,Café (em grão) Arábica,4200,4200,5040,1200,33597
2018,MG,3115102,Café (em grão) Arábica,5100,5100,10710,2100,77112
2018,MG,3117876,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3112505,Café (em grão) Arábica,NA,NA,NA,NA,NA
2015,MG,3140001,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3117836,Café (em grão) Arábica,NA,NA,NA,NA,NA
2019,MG,3162203,Café (em grão) Arábica,300,300,504,1680,3276
2014,MG,3146909,Café (em grão) Arábica,NA,NA,NA,NA,NA
2017,MG,3125309,Café (em grão) Arábica,710,710,690,972,4747
2017,MG,3112604,Café (em grão) Arábica,NA,NA,NA,NA,NA
2017,MG,3138682,Café (em grão) Arábica,NA,NA,NA,NA,NA
2017,MG,3147204,Café (em grão) Arábica,5500,5500,8580,1560,63492
2022,MG,3117306,Café (em grão) Arábica,12,12,36,3000,747
2016,MG,3113008,Café (em grão) Arábica,800,800,768,960,5760
2016,MG,3101904,Café (em grão) Arábica,4600,4600,11040,2400,77280
2010,MG,3125507,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3161650,Café (em grão) Arábica,151,151,136,901,695
2023,MG,3152170,Café (em grão) Arábica,60,60,36,600,509
2012,MG,3168051,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3103207,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3161700,Café (em grão) Arábica,420,420,680,1619,9435
2023,MG,3157203,Café (em grão) Arábica,10,10,13,1300,178
2023,MG,3160306,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3161601,Café (em grão) Arábica,NA,NA,NA,NA,NA
2023,MG,3158300,Café (em grão) Arábica,4995,4995,7789,1559,88665
2013,MG,3113404,Café (em grão) Arábica,8300,8300,9960,1200,42330
2013,MG,3163508,Café (em grão) Arábica,22,22,13,591,52
2020,MG,3123403,Café (em grão) Arábica,250,250,450,1800,3465
2015,MG,3133402,Café (em grão) Arábica,50,50,90,1800,504
2011,MG,3111903,Café (em grão) Arábica,NA,NA,NA,NA,NA
2011,MG,3127008,Café (em grão) Arábica,NA,NA,NA,NA,NA
2018,MG,3145901,Café (em grão) Arábica,NA,NA,NA,NA,NA
2021,MG,3125200,Café (em grão) Arábica,1300,1300,1950,1500,27446
2021,MG,3126703,Café (em grão) Arábica,2,2,2,1000,22
2019,MG,3145000,Café (em grão) Arábica,365,365,613,1679,4107
2014,MG,3122306,Café (em grão) Arábica,NA,NA,NA,NA,NA
2014,MG,3144904,Café (em grão) Arábica,10,10,4,400,16
2014,MG,3138658,Café (em grão) Arábica,2,2,2,1000,13
2014,MG,3142809,Café (em grão) Arábica,195,195,234,1200,1443
2014,MG,3109501,Café (em grão) Arábica,7570,7570,12718,1680,82667
2017,MG,3144672,Café (em grão) Arábica,1002,1002,480,479,3149
2022,MG,3151800,Café (em grão) Arábica,3020,3020,3533,1170,72374
2022,MG,3165537,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3136405,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3161502,Café (em grão) Arábica,385,385,601,1561,12170
2022,MG,3122306,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3139409,Café (em grão) Arábica,15300,15300,19278,1260,134946
2016,MG,3156452,Café (em grão) Arábica,1000,1000,1260,1260,9072
2016,MG,3123908,Café (em grão) Arábica,200,200,480,2400,3600
2016,MG,3158409,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3129707,Café (em grão) Arábica,NA,NA,NA,NA,NA
2010,MG,3115508,Café (em grão) Arábica,NA,NA,NA,NA,NA
2012,MG,3109451,Café (em grão) Arábica,211,211,372,1763,2154
2012,MG,3145505,Café (em grão) Arábica,1200,1200,1296,1080,8033
2017,MG,3169406,Café (em grão) Arábica,14320,14320,26950,1882,196466
2017,MG,3140001,Café (em grão) Arábica,17,17,50,2941,375
2022,MG,3146107,Café (em grão) Arábica,30,30,32,1067,640
2022,MG,3120151,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3164902,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3133808,Café (em grão) Arábica,NA,NA,NA,NA,NA
2022,MG,3151503,Café (em grão) Arábica,11380,11380,13656,1200,280464
2016,MG,3121258,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3103751,Café (em grão) Arábica,NA,NA,NA,NA,NA
2016,MG,3118809,Café (em grão) Arábica,NA,NA,NA,NA,NA
